model,suite_id,ok,score,elapsed_s,cost_usd,input_tokens,output_tokens,total_tokens
claude-sonnet-4,broken_access_control,True,0.6,14.37175989151001,0.012447,139,802,941
grok-code-fast-1,broken_access_control,True,0.6,6.493776321411133,0.0004988,304,292,0
gpt-4o-mini,broken_access_control,True,0.25,12.344003915786743,0.00046304999999999995,111,744,855
grok-3-mini,broken_access_control,True,0.4,13.177428960800171,0.00012330000000000002,111,180,0
gemini-2.5-flash,hardcoded_secrets,True,0.6,11.025761842727661,0.00015225000000000001,110,480,590
gpt-5,hardcoded_secrets,True,0.8,16.419456958770752,0.0058590000000000005,133,364,497
deepseek-reasoner,broken_access_control,True,0.0,33.998409032821655,0.00174463,118,767,0
claude-opus-4,hardcoded_secrets,True,1.0,16.807732820510864,0.06789,141,877,1018
gemini-2.0-flash,hardcoded_secrets,False,0.0,0.1025080680847168,,0,0,0
grok-3,broken_access_control,True,0.65,38.99747920036316,0.011850000000000001,110,768,0
deepseek-chat,hardcoded_secrets,True,0.65,7.526448011398315,4.368e-05,126,93,0
grok-3,command_injection,True,0.8,67.07777881622314,0.011775,85,768,0
gpt-4o,hardcoded_secrets,True,0.85,9.63454794883728,0.005932499999999999,113,565,678
grok-3,broken_access_control,True,0.45,35.39273405075073,0.011850000000000001,110,768,0
grok-3,hardcoded_secrets,True,0.85,19.332436084747314,0.011850000000000001,110,768,0
gemini-2.0-flash-lite,hardcoded_secrets,False,0.0,0.09491300582885742,,0,0,0
deepseek-chat,hardcoded_secrets,True,0.6,4.963247776031494,2.8000000000000003e-05,126,37,0
grok-4,hardcoded_secrets,True,0.25,21.024463891983032,0.007215000000000001,785,324,0
gpt-5-mini,hardcoded_secrets,True,0.85,7.4241297245025635,0.001992,112,470,582
claude-sonnet-4,hardcoded_secrets,True,0.85,12.165575742721558,0.009422999999999999,141,600,741
gpt-5,ssrf_basic,True,1.0,4.098399877548218,0.004893,36,319,355
gemini-2.5-flash-lite,hardcoded_secrets,True,0.85,5.120877265930176,0.000318225,110,2094,2204
grok-code-fast-1,hardcoded_secrets,True,0.25,5.866062879562378,0.0006203,304,373,0
gpt-4o-mini,hardcoded_secrets,True,0.85,10.333921194076538,0.00045795,113,735,848
claude-opus-4,ssrf_basic,True,1.0,9.939066171646118,0.031695,38,415,453
deepseek-chat,ssrf_basic,True,0.6666666666666666,5.74548602104187,2.492e-05,38,70,0
gemini-2.0-flash,ssrf_basic,False,0.0,0.08697199821472168,,0,0,0
deepseek-reasoner,hardcoded_secrets,True,0.4,27.251968145370483,0.0014314800000000002,126,622,0
gpt-4o,ssrf_basic,True,0.6666666666666666,5.208810806274414,0.0022925000000000003,37,220,257
grok-3-mini,hardcoded_secrets,True,0.2,13.024469137191772,6.18e-05,111,57,0
grok-4,ssrf_basic,True,1.0,9.881911754608154,0.006708,711,305,0
gpt-4o-mini,ssrf_basic,True,0.6666666666666666,4.065518140792847,0.00012974999999999998,37,207,244
gemini-2.0-flash-lite,ssrf_basic,False,0.0,0.09994864463806152,,0,0,0
gpt-5-mini,ssrf_basic,True,1.0,5.107874870300293,0.001068,36,258,294
deepseek-reasoner,ssrf_basic,True,0.6666666666666666,12.328802108764648,0.00046985,38,205,0
gemini-2.5-flash-lite,ssrf_basic,True,1.0,4.303141832351685,0.0002387625,35,1583,1619
gemini-2.5-flash,ssrf_basic,True,0.6666666666666666,14.51648998260498,0.000214125,35,705,740
deepseek-chat,ssrf_basic,True,0.6666666666666666,6.482000827789307,2.492e-05,38,70,0
claude-sonnet-4,ssrf_basic,True,1.0,10.10819411277771,0.005814000000000001,38,380,418
grok-3,hardcoded_secrets,True,0.85,28.6267249584198,0.011850000000000001,110,768,0
grok-code-fast-1,ssrf_basic,True,1.0,6.2798378467559814,0.0006730000000000001,230,418,0
deepseek-chat,reflected_xss,True,0.6,4.657583951950073,2.0580000000000003e-05,103,22,0
gemini-2.5-flash,reflected_xss,True,0.8,11.015819072723389,0.00016830000000000003,96,537,634
grok-3-mini,ssrf_basic,True,0.6666666666666666,11.661049127578735,0.0001681,37,314,0
gemini-2.0-flash,reflected_xss,False,0.0,0.09872984886169434,,0,0,0
gpt-5,reflected_xss,True,1.0,12.245606184005737,0.00579,120,362,482
claude-opus-4,reflected_xss,True,0.65,14.456063985824585,0.06933,117,901,1018
deepseek-chat,reflected_xss,True,0.6,4.111457109451294,2.114e-05,103,24,0
gpt-4o,reflected_xss,True,0.8,7.668787002563477,0.0059,100,565,665
deepseek-reasoner,reflected_xss,True,0.4,14.107683181762695,0.00062386,103,259,0
gemini-2.0-flash-lite,reflected_xss,False,0.0,0.08607792854309082,,0,0,0
grok-3,ssrf_basic,True,1.0,32.76456594467163,0.006468,36,424,0
grok-4,reflected_xss,True,0.4,20.77955198287964,0.008397,774,405,0
gpt-5-mini,reflected_xss,True,0.85,7.192200183868408,0.002015,99,479,578
grok-3,ssrf_basic,True,1.0,27.997294902801514,0.005748,36,376,0
grok-3,reflected_xss,True,0.8,19.96760106086731,0.011817000000000001,99,768,0
gemini-2.5-flash-lite,reflected_xss,True,0.8,5.49189305305481,0.0003291,96,2170,2267
claude-opus-4,owasp_top3,True,1.0,2.114074230194092,0.009179999999999999,52,112,164
grok-code-fast-1,reflected_xss,True,0.0,4.821372985839844,0.0005611,293,335,0
gemini-2.5-flash,owasp_top3,True,1.0,3.1133439540863037,2.2649999999999998e-05,46,64,111
claude-sonnet-4,reflected_xss,True,0.45,14.06472134590149,0.013986,117,909,1026
grok-3,owasp_top3,True,1.0,1.6057829856872559,0.0017909999999999998,57,108,0
gemini-2.0-flash,owasp_top3,False,0.0,0.08482933044433594,,0,0,0
gpt-4o,owasp_top3,True,1.0,0.8836472034454346,0.0011025,49,98,147
gpt-5,owasp_top3,True,1.0,5.335346937179565,0.0049889999999999995,48,323,371
grok-3,owasp_top3,True,1.0,1.7083289623260498,0.0017909999999999998,57,108,0
gpt-4o-mini,owasp_top3,True,1.0,1.9172930717468262,6.615e-05,49,98,147
gemini-2.5-flash-lite,owasp_top3,True,1.0,0.7141540050506592,1.1025e-05,46,62,109
claude-sonnet-4,owasp_top3,True,1.0,4.578352212905884,0.001836,52,112,164
gemini-2.0-flash-lite,owasp_top3,False,0.0,0.08525419235229492,,0,0,0
deepseek-chat,owasp_top3,True,1.0,7.229808807373047,3.262e-05,51,91,0
gpt-5-mini,owasp_top3,True,1.0,5.662220001220703,0.0014320000000000001,48,346,394
grok-code-fast-1,owasp_top3,True,0.25,3.3955318927764893,8.92e-05,251,26,0
deepseek-chat,owasp_top3,True,1.0,7.206524133682251,3.262e-05,51,91,0
gpt-4o-mini,reflected_xss,True,0.65,17.984222888946533,0.0005442,100,882,982
grok-4,owasp_top3,True,0.75,12.856213092803955,0.003531,732,89,0
grok-3-mini,reflected_xss,True,0.0,20.93055510520935,0.00010449999999999999,100,149,0
gemini-2.5-flash,csrf_vulnerability,True,0.2,12.59593415260315,8.219999999999999e-05,148,237,385
grok-3,reflected_xss,True,0.8,34.53005313873291,0.011817000000000001,99,768,0
gpt-5,csrf_vulnerability,True,0.4,15.694018125534058,0.008385,140,531,671
grok-4,csrf_vulnerability,True,0.0,13.89739990234375,0.007212,794,322,0
gemini-2.0-flash,csrf_vulnerability,False,0.0,0.09652900695800781,,0,0,0
deepseek-chat,csrf_vulnerability,True,0.2,7.815598011016846,4.354000000000001e-05,125,93,0
deepseek-reasoner,csrf_vulnerability,True,0.2,11.967316150665283,0.00051989,125,206,0
claude-opus-4,csrf_vulnerability,True,0.8,17.65139102935791,0.075765,156,979,1135
deepseek-chat,csrf_vulnerability,True,0.2,6.907301902770996,4.046e-05,125,82,0
gemini-2.0-flash-lite,csrf_vulnerability,False,0.0,0.09180402755737305,,0,0,0
gpt-4o,csrf_vulnerability,True,0.25,8.586907863616943,0.00524,120,494,614
gpt-5-mini,csrf_vulnerability,True,0.4,7.185262203216553,0.0021590000000000003,119,510,629
gemini-2.5-flash-lite,csrf_vulnerability,True,0.0,5.575343132019043,0.00033134999999999995,148,2172,2320
grok-3-mini,owasp_top3,True,0.75,26.726759910583496,6.939999999999999e-05,58,104,0
deepseek-reasoner,owasp_top3,True,0.0,32.78185319900513,0.00170997,51,768,0
grok-code-fast-1,csrf_vulnerability,True,0.0,4.939547300338745,0.0003956,313,222,0
grok-3,csrf_vulnerability,True,0.4,26.85808491706848,0.011877,119,768,0
gpt-4o-mini,csrf_vulnerability,True,0.0,13.446248292922974,0.000483,120,775,895
grok-3-mini,csrf_vulnerability,True,0.0,12.769670963287354,8.2e-05,120,92,0
deepseek-chat,insecure_deserialization_basic,True,0.5625,5.53767991065979,2.8420000000000002e-05,75,64,0
claude-sonnet-4,csrf_vulnerability,True,0.4,21.77136468887329,0.021123,156,1377,1533
gemini-2.0-flash,insecure_deserialization_basic,False,0.0,0.09192776679992676,,0,0,0
gemini-2.5-flash,insecure_deserialization_basic,True,1.0,12.08038592338562,9.3225e-05,79,291,370
gpt-5,insecure_deserialization_basic,True,1.0,14.064087152481079,0.005697,89,362,451
grok-3,csrf_vulnerability,True,0.0,21.810544967651367,0.011877,119,768,0
deepseek-chat,insecure_deserialization_basic,True,0.5625,5.823517322540283,2.8420000000000002e-05,75,64,0
grok-4,insecure_deserialization_basic,True,0.75,18.161415815353394,0.010179,743,530,0
gemini-2.0-flash-lite,insecure_deserialization_basic,False,0.0,0.08692407608032227,,0,0,0
claude-opus-4,insecure_deserialization_basic,True,0.8125,19.230649948120117,0.09055500000000001,87,1190,1277
grok-3,insecure_deserialization_basic,True,0.8125,15.813131093978882,0.011724,68,768,0
gpt-4o,insecure_deserialization_basic,True,1.0,8.674506902694702,0.0054624999999999995,69,529,598
gpt-5-mini,insecure_deserialization_basic,True,0.8125,8.436267137527466,0.0020080000000000002,68,485,553
gpt-4o-mini,insecure_deserialization_basic,True,1.0,9.104296922683716,0.00035115,69,568,637
grok-code-fast-1,insecure_deserialization_basic,True,1.0,5.0079662799835205,0.0006973999999999999,262,430,0
gemini-2.5-flash-lite,insecure_deserialization_basic,True,0.8125,6.156677007675171,0.0003284625,79,2170,2249
grok-3,insecure_deserialization_basic,True,0.5625,15.058794975280762,0.011724,68,768,0
grok-3-mini,insecure_deserialization_basic,True,0.0,11.90705394744873,6.42e-05,69,87,0
deepseek-chat,weak_authentication,True,0.5,4.945549011230469,1.694e-05,65,28,0
gpt-5,weak_authentication,True,0.75,13.265633821487427,0.003189,83,196,279
gemini-2.0-flash,weak_authentication,False,0.0,0.08287477493286133,,0,0,0
gemini-2.5-flash,weak_authentication,True,0.375,11.866913080215454,0.00021315,70,693,763
claude-sonnet-4,insecure_deserialization_basic,True,0.8125,22.680191040039062,0.022446,87,1479,1566
deepseek-chat,weak_authentication,True,0.5,4.245887041091919,1.694e-05,65,28,0
deepseek-reasoner,insecure_deserialization_basic,True,0.75,32.70732402801514,0.00163119,75,726,0
deepseek-reasoner,weak_authentication,True,0.5,14.028223991394043,0.00055916,65,239,0
gemini-2.0-flash-lite,weak_authentication,False,0.0,0.08516097068786621,,0,0,0
grok-3,weak_authentication,True,0.75,14.977591037750244,0.011706000000000001,62,768,0
gpt-4o,weak_authentication,True,0.625,8.667815208435059,0.0063574999999999994,63,620,683
grok-4,weak_authentication,True,0.0,17.79848289489746,0.008496,737,419,0
gpt-5-mini,weak_authentication,True,0.8125,7.358006954193115,0.001998,62,484,546
gemini-2.5-flash,sql_injection_simple,False,0.0,0.09126687049865723,,0,0,0
claude-opus-4,weak_authentication,True,0.5625,22.499912977218628,0.09571500000000001,66,1263,1329
gemini-2.5-flash-lite,weak_authentication,True,0.625,5.631769180297852,0.000309375,70,2045,2115
gpt-4o-mini,weak_authentication,True,0.375,6.114203929901123,0.00047024999999999996,63,768,831
grok-code-fast-1,weak_authentication,True,0.0625,7.253414154052734,0.0006722,256,414,0
gpt-5,sql_injection_simple,True,0.8,7.428257942199707,0.007683,41,504,545
deepseek-chat,sql_injection_simple,True,0.2,4.509757041931152,1.036e-05,44,15,0
gemini-2.0-flash,sql_injection_simple,False,0.0,0.08930730819702148,,0,0,0
claude-opus-4,sql_injection_simple,True,1.0,11.339423894882202,0.039915,41,524,565
grok-3-mini,weak_authentication,True,0.0,12.815547943115234,0.0001114,63,185,0
claude-sonnet-4,weak_authentication,True,0.5625,19.967407941818237,0.019667999999999998,66,1298,1364
gpt-4o,sql_injection_simple,True,1.0,7.697312831878662,0.0053750000000000004,42,527,569
grok-4,sql_injection_simple,True,0.2,13.069112062454224,0.005403,716,217,0
gemini-2.0-flash-lite,sql_injection_simple,False,0.0,0.08760404586791992,,0,0,0
deepseek-chat,sql_injection_simple,True,0.2,3.590742826461792,1.036e-05,44,15,0
claude-sonnet-4,sql_injection_simple,True,1.0,8.38493800163269,0.005643,41,368,409
grok-3,weak_authentication,True,0.375,23.23383617401123,0.011706000000000001,62,768,0
deepseek-reasoner,sql_injection_simple,True,0.4,13.720194101333618,0.00054104,44,236,0
grok-3,sql_injection_simple,True,1.0,14.756860256195068,0.011643,41,768,0
gemini-2.5-flash,sql_injection_complex,False,0.0,0.08785223960876465,,0,0,0
gemini-2.5-flash-lite,sql_injection_simple,True,1.0,4.261216163635254,0.0002753625,39,1826,1865
gpt-5-mini,sql_injection_simple,True,1.0,8.943609952926636,0.001905,41,466,507
grok-code-fast-1,sql_injection_simple,True,0.6,6.024564981460571,0.0008179999999999999,235,514,0
gpt-4o-mini,sql_injection_simple,True,0.8,9.37279486656189,0.00039089999999999996,42,641,683
grok-3,sql_injection_simple,True,0.8,15.000116348266602,0.011643,41,768,0
gemini-2.0-flash,sql_injection_complex,False,0.0,0.08330297470092773,,0,0,0
deepseek-chat,sql_injection_complex,True,0.2,4.135224103927612,1.8200000000000002e-05,92,19,0
grok-3-mini,sql_injection_simple,True,0.2,11.216010093688965,0.00011559999999999999,42,206,0
deepseek-chat,sql_injection_complex,True,0.2,3.7005491256713867,1.8200000000000002e-05,92,19,0
deepseek-reasoner,sql_injection_complex,True,0.4,10.35564398765564,0.00042728,92,172,0
claude-opus-4,sql_injection_complex,True,0.8,13.240360975265503,0.064635,104,841,945
gemini-2.0-flash-lite,sql_injection_complex,False,0.0,0.08452677726745605,,0,0,0
gpt-4o,sql_injection_complex,True,1.0,8.582569360733032,0.00581,88,559,647
gpt-5,sql_injection_complex,True,0.0,14.736340999603271,0.007116,87,457,544
grok-4,sql_injection_complex,True,0.6,13.1477210521698,0.008841,762,437,0
gemini-2.5-flash-lite,sql_injection_complex,True,1.0,5.2907421588897705,0.0003108,88,2050,2138
gemini-2.5-flash,nosql_injection,False,0.0,0.1105341911315918,,0,0,0
grok-3,sql_injection_complex,True,1.0,17.92410707473755,0.011781000000000002,87,768,0
gpt-5-mini,sql_injection_complex,True,0.4,9.178225040435791,0.001899,87,453,540
claude-sonnet-4,sql_injection_complex,True,0.45,15.143893241882324,0.015972,104,1044,1148
grok-code-fast-1,sql_injection_complex,True,0.4,7.2268149852752686,0.0007551999999999999,281,466,0
deepseek-chat,nosql_injection,True,0.4,3.9875307083129883,1.6380000000000002e-05,77,20,0
grok-3-mini,sql_injection_complex,True,0.0,11.13267207145691,0.00010339999999999999,88,154,0
gemini-2.0-flash,nosql_injection,False,0.0,0.08424615859985352,,0,0,0
gpt-4o-mini,sql_injection_complex,True,0.6,13.246554851531982,0.00040559999999999994,88,654,742
claude-opus-4,nosql_injection,True,0.6,14.87657117843628,0.06731999999999999,83,881,964
grok-3,sql_injection_complex,True,0.8,23.182842016220093,0.011781000000000002,87,768,0
deepseek-chat,nosql_injection,True,0.4,4.8817760944366455,1.6380000000000002e-05,77,20,0
gpt-5,nosql_injection,True,0.6,16.744397163391113,0.007535999999999999,97,483,580
gemini-2.0-flash-lite,nosql_injection,False,0.0,0.07887792587280273,,0,0,0
grok-4,nosql_injection,True,0.4,14.792561054229736,0.009348,751,473,0
gpt-4o,nosql_injection,True,0.4,13.02161717414856,0.0060025,77,581,658
grok-3,nosql_injection,True,0.0,16.502388954162598,0.011748000000000001,76,768,0
gemini-2.5-flash-lite,nosql_injection,True,0.2,5.686839818954468,0.00033817499999999997,82,2234,2316
gemini-2.5-flash,command_injection,False,0.0,0.0802450180053711,,0,0,0
grok-code-fast-1,nosql_injection,True,0.6,6.40197491645813,0.000831,270,518,0
gpt-5-mini,nosql_injection,True,0.4,11.572030782699585,0.00202,76,486,562
claude-sonnet-4,nosql_injection,True,0.4,16.36394476890564,0.012549,83,820,903
gpt-4o-mini,nosql_injection,True,0.4,10.618847846984863,0.00044114999999999996,77,716,793
grok-3,nosql_injection,True,0.0,17.574204921722412,0.011748000000000001,76,768,0
grok-3-mini,nosql_injection,True,0.0,13.085880994796753,8.46e-05,77,123,0
gemini-2.0-flash,command_injection,False,0.0,0.10371685028076172,,0,0,0
deepseek-chat,command_injection,True,0.6,4.131601095199585,1.8760000000000003e-05,90,22,0
deepseek-reasoner,nosql_injection,True,0.2,27.764264822006226,0.00041903000000000003,77,172,0
deepseek-chat,command_injection,True,0.6,4.4045209884643555,1.8760000000000003e-05,90,22,0
gpt-5,command_injection,True,0.8,17.646842002868652,0.008613,106,553,659
grok-4,command_injection,True,0.6,16.267600059509277,0.00795,760,378,0
gemini-2.0-flash-lite,command_injection,False,0.0,0.08712196350097656,,0,0,0
claude-opus-4,command_injection,True,0.65,17.67976713180542,0.08413499999999999,99,1102,1201
gpt-4o,command_injection,True,0.65,13.620528936386108,0.006765,86,655,741
gemini-2.5-flash-lite,command_injection,True,0.65,5.722978115081787,0.00031672499999999996,94,2088,2182
gpt-5-mini,command_injection,True,0.8,11.5436270236969,0.002097,85,503,588
gemini-2.5-flash,ldap_injection,False,0.0,0.0876457691192627,,0,0,0
grok-code-fast-1,command_injection,True,0.6,5.634979009628296,0.0007608000000000001,279,470,0
claude-sonnet-4,command_injection,True,0.65,17.044091939926147,0.015882,99,1039,1138
grok-3,command_injection,True,0.8,15.303115844726562,0.011775,85,768,0
grok-3,command_injection,True,0.6,23.548923015594482,0.011775,85,768,0
deepseek-chat,ldap_injection,True,0.2,4.090043067932129,2.086e-05,107,21,0
grok-3-mini,command_injection,True,0.0,11.869145154953003,4.93e-05,86,47,0
gemini-2.0-flash,ldap_injection,False,0.0,0.0872659683227539,,0,0,0
gpt-4o-mini,command_injection,True,0.8,20.243020057678223,0.0004383,86,709,795
claude-opus-4,ldap_injection,True,0.8,14.300271034240723,0.062400000000000004,120,808,928
deepseek-chat,ldap_injection,True,0.2,3.996387243270874,2.0580000000000003e-05,107,20,0
grok-4,ldap_injection,True,0.6,14.862789154052734,0.008931,772,441,0
deepseek-reasoner,command_injection,True,0.0,33.97198486328125,0.00173142,90,768,0
gemini-2.0-flash-lite,ldap_injection,False,0.0,0.10097384452819824,,0,0,0
gpt-4o,ldap_injection,True,0.8,15.613566875457764,0.007305000000000001,98,706,804
gpt-5-mini,ldap_injection,True,0.8,7.050539970397949,0.002097,97,500,597
gemini-2.5-flash-lite,ldap_injection,True,0.8,6.027163982391357,0.0003381,96,2230,2327
gpt-5,ldap_injection,True,0.8,25.748679876327515,0.004629,118,285,403
gemini-2.5-flash,broken_access_control,False,0.0,0.10647201538085938,,0,0,0
claude-sonnet-4,ldap_injection,True,0.8,19.701513051986694,0.018899999999999997,120,1236,1356
grok-code-fast-1,ldap_injection,True,0.6,6.287466049194336,0.0008562000000000001,291,532,0
grok-3-mini,ldap_injection,True,0.2,10.897603988647461,9.19e-05,98,125,0
deepseek-reasoner,ldap_injection,True,0.6,30.306987762451172,0.00154148,107,677,0
grok-3,ldap_injection,True,0.8,24.860142946243286,0.011811,97,768,0
deepseek-chat,broken_access_control,True,0.4,5.082809209823608,2.2400000000000002e-05,118,21,0
gemini-2.0-flash,broken_access_control,False,0.0,0.08556413650512695,,0,0,0
claude-opus-4,broken_access_control,True,0.6,14.011014223098755,0.06396,139,825,964
grok-3,ldap_injection,True,0.8,35.42634892463684,0.011811,97,768,0
gpt-5,broken_access_control,True,0.4,17.511940002441406,0.006573,131,412,543
deepseek-chat,broken_access_control,True,0.4,4.916831016540527,2.7160000000000004e-05,118,38,0
gpt-4o-mini,ldap_injection,True,0.8,25.057536125183105,0.0004977,98,805,903
gemini-2.0-flash-lite,broken_access_control,False,0.0,0.08389806747436523,,0,0,0
grok-4,broken_access_control,True,0.6,20.103673219680786,0.008265,785,394,0
gpt-4o,broken_access_control,True,0.25,13.262336015701294,0.0064275,111,615,726
gpt-5-mini,broken_access_control,True,0.45,9.228924989700317,0.00203,110,480,590
gemini-2.5-flash-lite,broken_access_control,True,0.45,5.970396995544434,0.00029681249999999993,115,1950,2065
gemini-2.5-flash,jwt_algorithm_confusion,False,0.0,0.09609699249267578,,0,0,0
claude-sonnet-4,broken_access_control,True,0.6,17.1820809841156,0.015356999999999999,139,996,1135
grok-code-fast-1,broken_access_control,True,0.6,8.565209150314331,0.0006098,304,366,0
grok-3,broken_access_control,True,0.6,27.109124183654785,0.011850000000000001,110,768,0
grok-3-mini,broken_access_control,True,0.0,12.913592100143433,6.73e-05,111,68,0
gpt-4o-mini,broken_access_control,True,0.6,18.721680164337158,0.00047624999999999995,111,766,877
grok-3,broken_access_control,True,0.65,24.586065769195557,0.011850000000000001,110,768,0
gemini-2.0-flash,jwt_algorithm_confusion,False,0.0,0.08269286155700684,,0,0,0
deepseek-chat,jwt_algorithm_confusion,True,0.0,5.317332983016968,2.548e-05,88,47,0
gpt-5,jwt_algorithm_confusion,True,0.2,14.453744888305664,0.0066809999999999994,102,425,527
deepseek-reasoner,broken_access_control,True,0.0,34.45757007598877,0.00174463,118,767,0
deepseek-chat,jwt_algorithm_confusion,True,0.0,4.938647031784058,2.548e-05,88,47,0
grok-4,jwt_algorithm_confusion,True,0.4,16.216795921325684,0.006633000000000001,756,291,0
gemini-2.0-flash-lite,jwt_algorithm_confusion,False,0.0,0.10197019577026367,,0,0,0
claude-opus-4,jwt_algorithm_confusion,True,0.8,17.64450979232788,0.07271999999999999,93,951,1044
gpt-4o,jwt_algorithm_confusion,True,0.6,10.01592206954956,0.005095,82,489,571
gpt-5-mini,jwt_algorithm_confusion,True,0.2,8.788856029510498,0.001949,81,467,548
